Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Austria,13,23,Alexander Albon,Red Bull Racing Honda,4,67,DNF,0,No
Austria,NC,33,Max Verstappen,Red Bull Racing Honda,2,11,DNF,0,No
Styria,3,33,Max Verstappen,Red Bull Racing Honda,2,71,+33.698,15,No
Styria,4,23,Alexander Albon,Red Bull Racing Honda,6,71,+44.400,12,No
Hungary,2,33,Max Verstappen,Red Bull Racing Honda,7,70,+8.702,18,No
Hungary,5,23,Alexander Albon,Red Bull Racing Honda,13,70,+78.316,10,No
Great Britain,2,33,Max Verstappen,Red Bull Racing Honda,3,52,+5.856,19,Yes
Great Britain,8,23,Alexander Albon,Red Bull Racing Honda,12,52,+32.670,4,No
70th Anniversary,1,33,Max Verstappen,Red Bull Racing Honda,4,52,1:19:41.993,25,No
70th Anniversary,5,23,Alexander Albon,Red Bull Racing Honda,9,52,+39.146,10,No
Spain,2,33,Max Verstappen,Red Bull Racing Honda,3,66,+24.177,18,No
Spain,8,23,Alexander Albon,Red Bull Racing Honda,6,65,+1 lap,4,No
Belgium,3,33,Max Verstappen,Red Bull Racing Honda,3,44,+15.455,15,No
Belgium,6,23,Alexander Albon,Red Bull Racing Honda,5,44,+42.712,8,No
Italy,15,23,Alexander Albon,Red Bull Racing Honda,9,53,+37.533,0,No
Italy,NC,33,Max Verstappen,Red Bull Racing Honda,5,30,DNF,0,No
Tuscany,3,23,Alexander Albon,Red Bull Racing Honda,4,59,+8.064,15,No
Tuscany,NC,33,Max Verstappen,Red Bull Racing Honda,3,0,DNF,0,No
Russia,2,33,Max Verstappen,Red Bull Racing Honda,2,53,+7.729,18,No
Russia,10,23,Alexander Albon,Red Bull Racing Honda,15,53,+97.860,1,No
Eifel,2,33,Max Verstappen,Red Bull Racing Honda,3,60,+4.470,19,Yes
Eifel,NC,23,Alexander Albon,Red Bull Racing Honda,5,23,DNF,0,No
Portugal,3,33,Max Verstappen,Red Bull Racing Honda,3,66,+34.508,15,No
Portugal,12,23,Alexander Albon,Red Bull Racing Honda,6,65,+1 lap,0,No
Emilia Romagna,15,23,Alexander Albon,Red Bull Racing Honda,6,63,+57.284,0,No
Emilia Romagna,NC,33,Max Verstappen,Red Bull Racing Honda,3,50,DNF,0,No
Turkey,6,33,Max Verstappen,Red Bull Racing Honda,2,58,+44.873,8,No
Turkey,7,23,Alexander Albon,Red Bull Racing Honda,4,58,+46.484,6,No
Bahrain,2,33,Max Verstappen,Red Bull Racing Honda,3,57,+1.254,19,Yes
Bahrain,3,23,Alexander Albon,Red Bull Racing Honda,4,57,+8.005,15,No
Sakhir,6,23,Alexander Albon,Red Bull Racing Honda,12,87,+13.842,8,No
Sakhir,NC,33,Max Verstappen,Red Bull Racing Honda,3,0,DNF,0,No
Abu Dhabi,1,33,Max Verstappen,Red Bull Racing Honda,1,55,1:36:28.645,25,No
Abu Dhabi,4,23,Alexander Albon,Red Bull Racing Honda,5,55,+19.987,12,No
